"","ListenerGroup","mTurkCode","ItemNum","Resp","Timing_Click.Count","Timing_First.Click","Timing_Last.Click","Timing_Page.Submit"
"664","V2",7348964,"X12","


7","1","0.292","0.292","0.201"
"724","V2",7723805,"X12","A native English speaker
1","1","0.583","0.583","0.5"
"784","V2",7914282,"X12","


8","1","1.073","1.073","1.087"
"844","V2",8728142,"X12","


8","2","0.266","1.634","1.645"
"904","V2",9087447,"X12","An extremely strong
foreign accent
9","1","0.396","0.396","0.3"
"964","V2",9827116,"X12","


6","1","1.918","1.918","1.928"
"1024","V2",9896160,"X12","


7","1","0.196","0.196","0.101"
"1084","V2",9919213,"X12","


5","1","0.918","0.918","0.905"
"5","V2",1316157,"X13","


8","1","0.521","0.521","0.571"
"65","V2",2174606,"X13","


6","1","1.239","1.239","1.256"
"125","V2",2218028,"X13","


7","1","1.12","1.12","1.129"
"185","V2",2620688,"X13","An extremely strong
foreign accent
9","1","0.055","0.055","0.095"
"245","V2",3410389,"X13","An extremely strong
foreign accent
9","0","0","0","0.466"
"305","V2",3485279,"X13","An extremely strong
foreign accent
9","1","0.108","0.108","0.12"
"365","V2",3855539,"X13","


5","1","4.281","4.281","4.317"
"425","V2",3927255,"X13","


7","1","0.091","0.091","0.097"
"485","V2",4464430,"X13","An extremely strong
foreign accent
9","1","6.726","6.726","6.739"
"545","V2",5641834,"X13","


8","1","0.627","0.627","0.649"
"605","V2",5721779,"X13","


8","1","0.604","0.604","0.611"
"665","V2",7348964,"X13","


7","1","0.639","0.639","0.672"
"725","V2",7723805,"X13","An extremely strong
foreign accent
9","1","0.505","0.505","0.538"
"785","V2",7914282,"X13","


6","1","0.653","0.653","0.665"
"845","V2",8728142,"X13","


7","1","0.877","0.877","0.887"
"905","V2",9087447,"X13","


7","1","0.408","0.408","0.417"
"965","V2",9827116,"X13","


6","1","1.297","1.297","1.202"
"1025","V2",9896160,"X13","


8","1","2.331","2.331","2.347"
"1085","V2",9919213,"X13","


6","1","1.115","1.115","1.178"
"6","V2",1316157,"X14","


4","1","2.34","2.34","2.383"
"66","V2",2174606,"X14","An extremely strong
foreign accent
9","1","0.191","0.191","0.102"
"126","V2",2218028,"X14","


7","2","1.409","1.706","1.715"
"186","V2",2620688,"X14","


7","1","0.19","0.19","0.1"
"246","V2",3410389,"X14","


8","1","1.431","1.431","1.401"
"306","V2",3485279,"X14","An extremely strong
foreign accent
9","1","0.061","0.061","0.081"
"366","V2",3855539,"X14","


5","1","4.413","4.413","4.442"
"426","V2",3927255,"X14","


7","1","0.112","0.112","0.12"
"486","V2",4464430,"X14","An extremely strong
foreign accent
9","1","0.03","0.03","0"
"546","V2",5641834,"X14","


7","1","1.061","1.061","1.074"
"606","V2",5721779,"X14","


7","1","0.435","0.435","0.443"
"666","V2",7348964,"X14","


6","1","0.847","0.847","0.882"
"726","V2",7723805,"X14","An extremely strong
foreign accent
9","1","0.317","0.317","0.35"
"786","V2",7914282,"X14","An extremely strong
foreign accent
9","1","0.749","0.749","0.76"
"846","V2",8728142,"X14","


6","1","1.226","1.226","1.234"
"906","V2",9087447,"X14","


7","1","1.394","1.394","1.301"
"966","V2",9827116,"X14","


6","1","1.055","1.055","1.068"
"1026","V2",9896160,"X14","


8","1","0.933","0.933","0.951"
"1086","V2",9919213,"X14","


8","1","0.329","0.329","0.37"
"7","V2",1316157,"X15","An extremely strong
foreign accent
9","1","0.343","0.343","0.309"
"67","V2",2174606,"X15","An extremely strong
foreign accent
9","1","0.146","0.146","0.171"
"127","V2",2218028,"X15","An extremely strong
foreign accent
9","1","1.117","1.117","1.126"
"187","V2",2620688,"X15","


8","1","0.823","0.823","0.87"
"247","V2",3410389,"X15","An extremely strong
foreign accent
9","1","0.12","0.12","0.418"
"307","V2",3485279,"X15","An extremely strong
foreign accent
9","1","4.367","4.367","4.383"
"367","V2",3855539,"X15","


6","1","10.656","10.656","10.687"
"427","V2",3927255,"X15","


7","1","0.154","0.154","0.162"
"487","V2",4464430,"X15","An extremely strong
foreign accent
9","0","0","0","0.233"
"547","V2",5641834,"X15","


8","1","0.882","0.882","0.896"
"607","V2",5721779,"X15","


8","1","0.659","0.659","0.666"
"667","V2",7348964,"X15","An extremely strong
foreign accent
9","1","2.253","2.253","2.271"
"727","V2",7723805,"X15","


6","1","0.673","0.673","0.6"
"787","V2",7914282,"X15","


8","1","0.36","0.36","0.372"
"847","V2",8728142,"X15","


8","1","0.597","0.597","0.606"
"907","V2",9087447,"X15","


8","1","0.359","0.359","0.374"
"967","V2",9827116,"X15","


8","1","1.577","1.577","1.587"
"1027","V2",9896160,"X15","


8","1","2.621","2.621","2.637"
"1087","V2",9919213,"X15","


5","1","0.784","0.784","0.72"
"8","V2",1316157,"X16","An extremely strong
foreign accent
9","1","0.11","0.11","0.158"
"68","V2",2174606,"X16","An extremely strong
foreign accent
9","1","0.191","0.191","0.101"
"128","V2",2218028,"X16","


7","1","2.773","2.773","2.784"
"188","V2",2620688,"X16","An extremely strong
foreign accent
9","1","0.081","0.081","0"
"248","V2",3410389,"X16","An extremely strong
foreign accent
9","1","0.182","0.182","0.123"
"308","V2",3485279,"X16","An extremely strong
foreign accent
9","1","4.901","4.901","4.923"
"368","V2",3855539,"X16","


6","1","15.474","15.474","15.506"
"428","V2",3927255,"X16","


8","1","0.407","0.407","0.414"
"488","V2",4464430,"X16","An extremely strong
foreign accent
9","1","0.022","0.022","0"
"548","V2",5641834,"X16","


8","1","0.736","0.736","0.749"
"608","V2",5721779,"X16","


7","1","0.786","0.786","0.794"
"668","V2",7348964,"X16","


3","1","0.769","0.769","0.792"
"728","V2",7723805,"X16","


2","1","0.65","0.65","0.682"
"788","V2",7914282,"X16","An extremely strong
foreign accent
9","1","1.329","1.329","1.342"
"848","V2",8728142,"X16","


7","1","5.92","5.92","5.932"
"908","V2",9087447,"X16","An extremely strong
foreign accent
9","1","3.437","3.437","3.448"
"968","V2",9827116,"X16","An extremely strong
foreign accent
9","1","1.355","1.355","1.366"
"1028","V2",9896160,"X16","


8","1","0.223","0.223","0.243"
"1088","V2",9919213,"X16","


5","1","0.36","0.36","0.304"
"9","V2",1316157,"X17","An extremely strong
foreign accent
9","1","0.494","0.494","0.544"
"69","V2",2174606,"X17","An extremely strong
foreign accent
9","1","0.3","0.3","0.422"
"129","V2",2218028,"X17","An extremely strong
foreign accent
9","1","0.038","0.038","0.047"
"189","V2",2620688,"X17","


8","1","1.183","1.183","1.102"
"249","V2",3410389,"X17","An extremely strong
foreign accent
9","1","0.512","0.512","0.536"
"309","V2",3485279,"X17","A native English speaker
1","1","1.473","1.473","1.527"
"369","V2",3855539,"X17","


6","1","7.405","7.405","7.439"
"429","V2",3927255,"X17","


7","1","0.381","0.381","0.388"
"489","V2",4464430,"X17","


8","1","0.008","0.008","0"
"549","V2",5641834,"X17","


8","1","1.099","1.099","1.114"
"609","V2",5721779,"X17","An extremely strong
foreign accent
9","1","0.388","0.388","0.395"
"669","V2",7348964,"X17","


7","1","1.619","1.619","1.653"
"729","V2",7723805,"X17","An extremely strong
foreign accent
9","1","0.269","0.269","0.2"
"789","V2",7914282,"X17","An extremely strong
foreign accent
9","1","0.332","0.332","0.346"
"849","V2",8728142,"X17","


8","1","2.013","2.013","2.022"
"909","V2",9087447,"X17","


8","1","1.1","1.1","1.215"
"969","V2",9827116,"X17","


8","1","1.547","1.547","1.557"
"1029","V2",9896160,"X17","


7","1","0.588","0.588","0.501"
"1089","V2",9919213,"X17","


6","1","0.767","0.767","0.701"
"10","V2",1316157,"X18","An extremely strong
foreign accent
9","1","0.137","0.137","0.187"
"70","V2",2174606,"X18","


6","1","1.417","1.417","1.435"
"130","V2",2218028,"X18","An extremely strong
foreign accent
9","1","1.043","1.043","1.053"
"190","V2",2620688,"X18","An extremely strong
foreign accent
9","1","0.272","0.272","0.202"
"250","V2",3410389,"X18","


6","1","0.17","0.17","0.1"
"310","V2",3485279,"X18","An extremely strong
foreign accent
9","1","0.321","0.321","0.333"
"370","V2",3855539,"X18","


5","1","39","39","39.031"
"430","V2",3927255,"X18","


5","1","1.144","1.144","1.151"
"490","V2",4464430,"X18","An extremely strong
foreign accent
9","1","0.094","0.094","0.218"
"550","V2",5641834,"X18","


7","1","1.357","1.357","1.372"
"610","V2",5721779,"X18","


7","1","0.516","0.516","0.522"
"670","V2",7348964,"X18","


5","1","1.195","1.195","1.219"
"730","V2",7723805,"X18","


3","1","1.011","1.011","1.027"
"790","V2",7914282,"X18","An extremely strong
foreign accent
9","1","0.742","0.742","0.755"
"850","V2",8728142,"X18","


8","1","0.325","0.325","0.336"
"910","V2",9087447,"X18","


8","1","1.423","1.423","1.431"
"970","V2",9827116,"X18","


8","1","5.694","5.694","5.602"
"1030","V2",9896160,"X18","


6","1","1.001","1.001","1.019"
"1090","V2",9919213,"X18","


5","1","0.3","0.3","0.353"
"11","V2",1316157,"X19","An extremely strong
foreign accent
9","1","2.724","2.724","2.787"
"71","V2",2174606,"X19","


7","1","3.219","3.219","3.237"
"131","V2",2218028,"X19","An extremely strong
foreign accent
9","1","0.562","0.562","0.57"
"191","V2",2620688,"X19","An extremely strong
foreign accent
9","1","0.092","0.092","0"
"251","V2",3410389,"X19","An extremely strong
foreign accent
9","1","0.043","0.043","0"
"311","V2",3485279,"X19","An extremely strong
foreign accent
9","2","1.183","1.552","1.565"
"371","V2",3855539,"X19","


5","2","19.489","20.082","19.998"
"431","V2",3927255,"X19","


7","1","0.526","0.526","0.532"
"491","V2",4464430,"X19","


7","1","0.137","0.137","0.619"
"551","V2",5641834,"X19","An extremely strong
foreign accent
9","1","1.492","1.492","1.402"
"611","V2",5721779,"X19","An extremely strong
foreign accent
9","1","0.359","0.359","0.367"
"671","V2",7348964,"X19","


7","1","2.166","2.166","2.188"
"731","V2",7723805,"X19","


3","1","0.615","0.615","0.648"
"791","V2",7914282,"X19","


8","1","0.444","0.444","0.456"
"851","V2",8728142,"X19","


8","1","0.493","0.493","0.4"
"911","V2",9087447,"X19","


8","1","1.066","1.066","1.073"
"971","V2",9827116,"X19","


8","1","2.467","2.467","2.479"
"1031","V2",9896160,"X19","


7","1","0.958","0.958","0.972"
"1091","V2",9919213,"X19","


7","1","0.524","0.524","0.591"
"12","V2",1316157,"X20","An extremely strong
foreign accent
9","1","0.197","0.197","0.331"
"72","V2",2174606,"X20","An extremely strong
foreign accent
9","1","0.235","0.235","0.257"
"132","V2",2218028,"X20","An extremely strong
foreign accent
9","1","2.604","2.604","2.614"
"192","V2",2620688,"X20","An extremely strong
foreign accent
9","1","0.971","0.971","0.999"
"252","V2",3410389,"X20","An extremely strong
foreign accent
9","1","0.343","0.343","0.385"
"312","V2",3485279,"X20","An extremely strong
foreign accent
9","1","0.039","0.039","0.054"
"372","V2",3855539,"X20","


6","1","5.467","5.467","5.509"
"432","V2",3927255,"X20","


7","1","0.154","0.154","0.16"
"492","V2",4464430,"X20","An extremely strong
foreign accent
9","1","0.275","0.275","0.255"
"552","V2",5641834,"X20","


8","1","1.387","1.387","1.301"
"612","V2",5721779,"X20","


8","1","0.675","0.675","0.683"
"672","V2",7348964,"X20","


7","1","0.946","0.946","0.981"
"732","V2",7723805,"X20","


5","1","0.167","0.167","0.1"
"792","V2",7914282,"X20","An extremely strong
foreign accent
9","1","0.43","0.43","0.443"
"852","V2",8728142,"X20","


8","1","1.089","1.089","1.097"
"912","V2",9087447,"X20","An extremely strong
foreign accent
9","1","0.335","0.335","0.344"
"972","V2",9827116,"X20","


7","1","2.386","2.386","2.396"
"1032","V2",9896160,"X20","


8","1","0.605","0.605","0.625"
"1092","V2",9919213,"X20","


6","1","0.264","0.264","0.201"
"13","V2",1316157,"X21","An extremely strong
foreign accent
9","1","0.736","0.736","0.795"
"73","V2",2174606,"X21","An extremely strong
foreign accent
9","1","0.277","0.277","0.201"
"133","V2",2218028,"X21","An extremely strong
foreign accent
9","1","0.001","0.001","0.016"
"193","V2",2620688,"X21","An extremely strong
foreign accent
9","1","0.417","0.417","0.451"
"253","V2",3410389,"X21","An extremely strong
foreign accent
9","1","1.462","1.462","1.485"
"313","V2",3485279,"X21","An extremely strong
foreign accent
9","1","3.052","3.052","3.072"
"373","V2",3855539,"X21","


2","1","0.887","0.887","0.801"
"433","V2",3927255,"X21","


7","1","0.072","0.072","0.078"
"493","V2",4464430,"X21","


8","2","0.56","0.834","0.938"
"553","V2",5641834,"X21","


6","1","1.618","1.618","1.632"
"613","V2",5721779,"X21","An extremely strong
foreign accent
9","1","0.617","0.617","0.624"
"673","V2",7348964,"X21","


4","1","1.495","1.495","1.4"
"733","V2",7723805,"X21","An extremely strong
foreign accent
9","1","0.277","0.277","0.298"
"793","V2",7914282,"X21","


8","1","0.448","0.448","0.476"
"853","V2",8728142,"X21","


8","1","0.487","0.487","0.498"
"913","V2",9087447,"X21","An extremely strong
foreign accent
9","1","0.502","0.502","0.515"
"973","V2",9827116,"X21","


8","1","1.447","1.447","1.456"
"1033","V2",9896160,"X21","


8","1","0.16","0.16","0.178"
"1093","V2",9919213,"X21","


6","1","0.535","0.535","0.511"
"14","V2",1316157,"X22","An extremely strong
foreign accent
9","1","0.068","0.068","0"
"74","V2",2174606,"X22","


6","1","0.582","0.582","0.501"
"134","V2",2218028,"X22","A native English speaker
1","1","0.069","0.069","0.081"
"194","V2",2620688,"X22","


8","1","1.469","1.469","1.499"
"254","V2",3410389,"X22","


5","1","0.102","0.102","0.458"
"314","V2",3485279,"X22","An extremely strong
foreign accent
9","1","5.291","5.291","5.2"
"374","V2",3855539,"X22","


4","1","0.944","0.944","0.985"
"434","V2",3927255,"X22","


3","1","0.332","0.332","0.338"
"494","V2",4464430,"X22","


5","1","0.018","0.018","0"
"554","V2",5641834,"X22","


2","1","1.209","1.209","1.246"
"614","V2",5721779,"X22","


8","1","5.528","5.528","5.535"
"674","V2",7348964,"X22","


2","1","2.314","2.314","2.336"
"734","V2",7723805,"X22","


4","1","0.595","0.595","0.5"
"794","V2",7914282,"X22","


2","1","0.814","0.814","0.828"
"854","V2",8728142,"X22","


6","1","0.481","0.481","0.489"
"914","V2",9087447,"X22","


5","1","1.071","1.071","1.085"
"974","V2",9827116,"X22","


4","1","1.255","1.255","1.264"
"1034","V2",9896160,"X22","


6","1","0.486","0.486","0.401"
"1094","V2",9919213,"X22","


2","1","0.266","0.266","0.201"
"15","V2",1316157,"X23","A native English speaker
1","1","0.309","0.309","0.611"
"75","V2",2174606,"X23","


4","1","2.424","2.424","2.447"
"135","V2",2218028,"X23","A native English speaker
1","1","0.06","0.06","0.069"
"195","V2",2620688,"X23","An extremely strong
foreign accent
9","1","4.49","4.49","4.532"
"255","V2",3410389,"X23","


7","1","0.549","0.549","0.616"
"315","V2",3485279,"X23","An extremely strong
foreign accent
9","1","6.265","6.265","6.281"
"375","V2",3855539,"X23","


7","1","15.253","15.253","15.291"
"435","V2",3927255,"X23","


7","1","0.402","0.402","0.409"
"495","V2",4464430,"X23","


6","0","0","0","0.228"
"555","V2",5641834,"X23","


8","1","0.724","0.724","0.737"
"615","V2",5721779,"X23","


7","2","0.677","1.007","1.015"
"675","V2",7348964,"X23","


3","1","0.72","0.72","0.739"
"735","V2",7723805,"X23","A native English speaker
1","1","0.183","0.183","0.1"
"795","V2",7914282,"X23","


7","1","0.589","0.589","0.501"
"855","V2",8728142,"X23","


7","1","0.366","0.366","0.375"
"915","V2",9087447,"X23","


8","1","0.605","0.605","0.617"
"975","V2",9827116,"X23","


7","1","3.782","3.782","3.792"
"1035","V2",9896160,"X23","


6","1","1.598","1.598","1.613"
"1095","V2",9919213,"X23","


4","1","0.581","0.581","0.644"
"16","V2",1316157,"X24","A native English speaker
1","1","0.098","0.098","0.164"
"76","V2",2174606,"X24","


6","1","0.573","0.573","0.594"
"136","V2",2218028,"X24","


2","1","1.193","1.193","1.101"
"196","V2",2620688,"X24","An extremely strong
foreign accent
9","2","0.398","0.765","0.707"
"256","V2",3410389,"X24","


5","1","2.383","2.383","2.301"
"316","V2",3485279,"X24","An extremely strong
foreign accent
9","1","0.114","0.114","0.128"
"376","V2",3855539,"X24","


6","1","30.716","30.716","30.748"
"436","V2",3927255,"X24","


4","1","0.982","0.982","0.989"
"496","V2",4464430,"X24","


7","1","0.061","0.061","0"
"556","V2",5641834,"X24","


7","1","1.001","1.001","1.123"
"616","V2",5721779,"X24","


6","1","0.914","0.914","0.921"
"676","V2",7348964,"X24","


7","1","0.323","0.323","0.34"
"736","V2",7723805,"X24","


4","1","0.339","0.339","0.36"
"796","V2",7914282,"X24","


5","1","0.683","0.683","0.7"
"856","V2",8728142,"X24","


6","1","1.234","1.234","1.243"
"916","V2",9087447,"X24","


4","1","1.015","1.015","1.024"
"976","V2",9827116,"X24","


4","1","1.017","1.017","1.027"
"1036","V2",9896160,"X24","


5","1","0.223","0.223","0.241"
"1096","V2",9919213,"X24","


3","1","0.578","0.578","0.502"
"17","V2",1316157,"X25","


2","1","0.169","0.169","0.125"
"77","V2",2174606,"X25","


3","1","0.283","0.283","0.201"
"137","V2",2218028,"X25","


5","1","2.103","2.103","2.113"
"197","V2",2620688,"X25","An extremely strong
foreign accent
9","1","0.76","0.76","0.796"
"257","V2",3410389,"X25","


5","2","0.367","0.891","0.998"
"317","V2",3485279,"X25","An extremely strong
foreign accent
9","1","0.118","0.118","0.138"
"377","V2",3855539,"X25","


6","2","1.288","1.896","1.924"
"437","V2",3927255,"X25","


7","1","0.108","0.108","0.116"
"497","V2",4464430,"X25","


6","1","0.387","0.387","0.304"
"557","V2",5641834,"X25","


3","1","0.861","0.861","0.876"
"617","V2",5721779,"X25","


6","1","1.935","1.935","1.941"
"677","V2",7348964,"X25","


3","1","11.556","11.556","11.586"
"737","V2",7723805,"X25","A native English speaker
1","1","0.733","0.733","0.745"
"797","V2",7914282,"X25","


6","1","0.73","0.73","0.743"
"857","V2",8728142,"X25","


6","1","0.59","0.59","0.602"
"917","V2",9087447,"X25","


6","1","0.924","0.924","0.938"
"977","V2",9827116,"X25","


6","1","1.257","1.257","1.267"
"1037","V2",9896160,"X25","


6","1","0.654","0.654","0.669"
"1097","V2",9919213,"X25","


4","1","0.544","0.544","0.617"
"18","V2",1316157,"X26","An extremely strong
foreign accent
9","1","0.004","0.004","0.067"
"78","V2",2174606,"X26","


5","1","0.361","0.361","0.385"
"138","V2",2218028,"X26","


5","1","1.186","1.186","1.196"
"198","V2",2620688,"X26","An extremely strong
foreign accent
9","1","0.155","0.155","0.202"
"258","V2",3410389,"X26","


5","1","0.401","0.401","0.572"
"318","V2",3485279,"X26","An extremely strong
foreign accent
9","1","6.369","6.369","6.297"
"378","V2",3855539,"X26","


5","1","0.761","0.761","0.791"
"438","V2",3927255,"X26","


7","1","1.271","1.271","1.277"
"498","V2",4464430,"X26","


7","1","0.184","0.184","0.143"
"558","V2",5641834,"X26","


2","1","8.028","8.028","8.042"
"618","V2",5721779,"X26","


7","1","0.276","0.276","0.284"
"678","V2",7348964,"X26","A native English speaker
1","1","0.195","0.195","0.24"
"738","V2",7723805,"X26","A native English speaker
1","1","0.161","0.161","0.196"
"798","V2",7914282,"X26","


6","1","0.883","0.883","0.897"
"858","V2",8728142,"X26","


7","1","0.717","0.717","0.725"
"918","V2",9087447,"X26","


6","1","0.778","0.778","0.792"
"978","V2",9827116,"X26","


5","1","1.203","1.203","1.213"
"1038","V2",9896160,"X26","


6","1","0.857","0.857","0.874"
"1098","V2",9919213,"X26","


3","1","0.769","0.769","0.825"
"19","V2",1316157,"X27","An extremely strong
foreign accent
9","2","0.244","0.479","0.401"
"79","V2",2174606,"X27","


6","1","1.344","1.344","1.366"
"139","V2",2218028,"X27","


4","1","2.11","2.11","2.119"
"199","V2",2620688,"X27","


8","1","0.043","0.043","0.069"
"259","V2",3410389,"X27","


7","1","0.01","0.01","0"
"319","V2",3485279,"X27","An extremely strong
foreign accent
9","1","0.047","0.047","0"
"379","V2",3855539,"X27","


6","1","12.159","12.159","12.188"
"439","V2",3927255,"X27","


5","1","0.069","0.069","0.076"
"499","V2",4464430,"X27","


7","1","0.191","0.191","0.338"
"559","V2",5641834,"X27","


7","1","0.742","0.742","0.759"
"619","V2",5721779,"X27","


6","1","0.362","0.362","0.37"
"679","V2",7348964,"X27","


2","1","0.948","0.948","0.975"
"739","V2",7723805,"X27","


5","1","0.557","0.557","0.569"
"799","V2",7914282,"X27","


3","1","0.411","0.411","0.423"
"859","V2",8728142,"X27","


5","1","0.969","0.969","0.977"
"919","V2",9087447,"X27","


8","1","2.105","2.105","2.12"
"979","V2",9827116,"X27","


6","1","2.134","2.134","2.145"
"1039","V2",9896160,"X27","


6","1","0.872","0.872","0.886"
"1099","V2",9919213,"X27","


3","1","0.244","0.244","0.201"
"20","V2",1316157,"X28","A native English speaker
1","1","0.151","0.151","0.1"
"80","V2",2174606,"X28","


3","1","0.87","0.87","0.888"
"140","V2",2218028,"X28","A native English speaker
1","1","0.792","0.792","0.801"
"200","V2",2620688,"X28","An extremely strong
foreign accent
9","1","0.185","0.185","0.108"
"260","V2",3410389,"X28","


3","1","0.604","0.604","0.602"
"320","V2",3485279,"X28","A native English speaker
1","1","1.629","1.629","1.641"
"380","V2",3855539,"X28","


6","1","16.061","16.061","16.351"
"440","V2",3927255,"X28","


2","1","0.28","0.28","0.286"
"500","V2",4464430,"X28","


5","1","0.735","0.735","1.041"
"560","V2",5641834,"X28","


3","1","0.649","0.649","0.663"
"620","V2",5721779,"X28","


2","1","0.379","0.379","0.387"
"680","V2",7348964,"X28","


2","1","0.6","0.6","0.734"
"740","V2",7723805,"X28","


2","1","0.376","0.376","0.394"
"800","V2",7914282,"X28","A native English speaker
1","1","0.201","0.201","0.215"
"860","V2",8728142,"X28","


3","1","0.383","0.383","0.391"
"920","V2",9087447,"X28","A native English speaker
1","1","1.095","1.095","1.001"
"980","V2",9827116,"X28","


4","1","1.235","1.235","1.244"
"1040","V2",9896160,"X28","


2","1","0.341","0.341","0.357"
"1100","V2",9919213,"X28","A native English speaker
1","1","0.12","0.12","0.2"
"21","V2",1316157,"X29","


6","1","0.471","0.471","0.4"
"81","V2",2174606,"X29","


3","1","0.499","0.499","0.518"
"141","V2",2218028,"X29","A native English speaker
1","1","0.91","0.91","0.922"
"201","V2",2620688,"X29","


7","1","0.178","0.178","0.101"
"261","V2",3410389,"X29","


3","1","0.335","0.335","0.378"
"321","V2",3485279,"X29","An extremely strong
foreign accent
9","1","3.701","3.701","3.721"
"381","V2",3855539,"X29","


5","1","1.407","1.407","1.439"
"441","V2",3927255,"X29","


3","1","0.472","0.472","0.478"
"501","V2",4464430,"X29","


7","1","0","0","0.48"
"561","V2",5641834,"X29","


3","1","1.223","1.223","1.237"
"621","V2",5721779,"X29","


5","1","0.396","0.396","0.301"
"681","V2",7348964,"X29","


2","1","0.176","0.176","0.101"
